color,text
Black,tap put charge counter black mana battery tap remove number charge counter black mana battery add blackmana add additional blackmana charge counter removed way
Black,enchant land enchanted land becomes tapped destroy
Red,target creature ha toughness greater get plusandminus end turn otherwise get plusandminusx end turn x toughness minus
Blue,tap put charge counter blue mana battery tap remove number charge counter blue mana battery add bluemana add additional bluemana charge counter removed way
Black,flying creature blocked except creature flying reach
White,enchant creature enchanted creature attack unless controller pay
Red,redmanaredmana brother fire deal damage target damage
Green,defender
Black,carrion ant get plusandplus end turn
Red,whenever cave people attack get plusandminus end turn redmanaredmana tap target creature gain mountainwalk end turn blocked long defending player control mountain
White,next time artifact source choice would deal damage turn prevent damage
Black,first strike beginning upkeep destroy cosmic horror unless pay blackmanablackmanablackmana cosmic horror destroyed way deal damage
Red,flying redmana tap crimson manticore deal damage target attacking blocking creature
Black,cyclopean mummy dy exile
Red,destroy target artifact converted mana cost x regenerated detonate deal x damage artifact controller
White,enchant creature enchanted creature get plusandplus
White,defender trample elder land wurm block loses defender
Blue,tap target untapped creature control add amount colorlessmana equal creature converted mana cost
Blue,enchant land beginning upkeep enchanted land controller destroy land unless player pay life
Red,enchant creature enchanted creature ha vigilance
Red,destroy target creature land regenerated
Blue,bluemanabluemana tap target creature without flying
White,wall creature control get plusandplus banding creature banding one without attack band band blocked group creature banding control blocking blocked creature divide creature combat damage controller among creature blocked blocking
Blue,enchant creature prevent combat damage would dealt dealt enchanted creature
Blue,flying bluemanabluemanabluemana regenerate ghost ship
